rut;nrc;usuario;year;mes;dia;id;problema;puntaje
280;17326;*;2020;4;9;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
21;17335;*;2020;4;9;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
480;17326;*;2020;4;10;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
218;17340;*;2020;4;11;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
481;17334;*;2020;4;11;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
109;17340;*;2020;4;11;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
482;17331;*;2020;4;12;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
167;17334;*;2020;4;13;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
56;17340;*;2020;4;13;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
346;17326;*;2020;4;13;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
171;17334;*;2020;4;13;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
483;17326;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
230;17331;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
27;17344;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
430;17331;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
484;17323;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
155;17323;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
333;17323;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0.0
193;17328;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
485;17330;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
275;17330;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
486;17330;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
487;17326;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
309;17330;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
208;17330;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
248;17326;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
488;17323;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
408;17333;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
489;17333;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
57;17929;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
490;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
287;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
73;17333;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
491;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
233;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;0
325;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
492;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
467;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
470;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
493;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
210;17336;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
143;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
238;17335;*;2020;4;14;89f44e7f5842479fb283e43c52ce067b;Ordenar tres números;1.0
